# Matter power spectrum P(k) at redshift z=99
# for k=1.04206e-05 to 53.4232 h/Mpc,
# number of wavenumbers equal to 243
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       7.036199063103e-03 
       1.125187501919e-05       7.577741080925e-03 
       1.214949517534e-05       8.160961903971e-03 
       1.311872312515e-05       8.789070917567e-03 
       1.416527139199e-05       9.465522162912e-03 
       1.529530821670e-05       1.019403634472e-02 
       1.651549391254e-05       1.097862178718e-02 
       1.783302012034e-05       1.182359084921e-02 
       1.925565219523e-05       1.273359262214e-02 
       2.079177497483e-05       1.371363207405e-02 
       2.245044219853e-05       1.476909885755e-02 
       2.424142986925e-05       1.590579931113e-02 
       2.617529387212e-05       1.712998402220e-02 
       2.826343218975e-05       1.844838540306e-02 
       3.051815208062e-05       1.986825598375e-02 
       3.295274261680e-05       2.139740389028e-02 
       3.558155300819e-05       2.304423884494e-02 
       3.842007717529e-05       2.481781755427e-02 
       4.148504506860e-05       2.672789401192e-02 
       4.479452127312e-05       2.878497078974e-02 
       4.836801147907e-05       3.100036252507e-02 
       5.222657744628e-05       3.338624729837e-02 
       5.639296113988e-05       3.595574642308e-02 
       6.089171876895e-05       3.872298851096e-02 
       6.574936551816e-05       4.170318609141e-02 
       7.099453182532e-05       4.491272215790e-02 
       7.665813212606e-05       4.836924208988e-02 
       8.277354706016e-05       5.209174189517e-02 
       8.937682021332e-05       5.610068323566e-02 
       9.650687055417e-05       6.041809255442e-02 
       1.042057218184e-04       6.506769489910e-02 
       1.125187501919e-04       7.007502835279e-02 
       1.214949517534e-04       7.546759674968e-02 
       1.311872312515e-04       8.127500764395e-02 
       1.416527139199e-04       8.752914024078e-02 
       1.529530821670e-04       9.426431253847e-02 
       1.651549391254e-04       1.015174697871e-01 
       1.783302012034e-04       1.093283789123e-01 
       1.925565219523e-04       1.177398427530e-01 
       2.079177497483e-04       1.267979250237e-01 
       2.245044219853e-04       1.365521975408e-01 
       2.424142986925e-04       1.470559942354e-01 
       2.617529387212e-04       1.583666930984e-01 
       2.826343218975e-04       1.705460082159e-01 
       3.051815208062e-04       1.836603027352e-01 
       3.295274261680e-04       1.977809248979e-01 
       3.558155300819e-04       2.129845569241e-01 
       3.842007717529e-04       2.293535874498e-01 
       4.148504506860e-04       2.469764979363e-01 
       4.479452127312e-04       2.659482729789e-01 
       4.836801147907e-04       2.863708204833e-01 
       5.222657744628e-04       3.083534042256e-01 
       5.639296113988e-04       3.320130943566e-01 
       6.089171876895e-04       3.574752027338e-01 
       6.574936551816e-04       3.848737417194e-01 
       7.099453182532e-04       4.143518337714e-01 
       7.665813212606e-04       4.460621292760e-01 
       8.277354706016e-04       4.801671589207e-01 
       8.937682021332e-04       5.168396292522e-01 
       9.650687055417e-04       5.562626301790e-01 
       1.042057218184e-03       5.986297066076e-01 
       1.125187501919e-03       6.441447774006e-01 
       1.214949517534e-03       6.930218319688e-01 
       1.311872312515e-03       7.454843341750e-01 
       1.416527139199e-03       8.017583450562e-01 
       1.529530821670e-03       8.620861552829e-01 
       1.651549391254e-03       9.267132662796e-01 
       1.783302012034e-03       9.958861158026e-01 
       1.925565219523e-03       1.069850076998e+00 
       2.079177497483e-03       1.148844950231e+00 
       2.245044219853e-03       1.233099298933e+00 
       2.424142986925e-03       1.322823335185e+00 
       2.617529387212e-03       1.418200354289e+00 
       2.826343218975e-03       1.519376431674e+00 
       3.051815208062e-03       1.626448354680e+00 
       3.295274261680e-03       1.739449454760e+00 
       3.558155300819e-03       1.858334350902e+00 
       3.842007717529e-03       1.982962008916e+00 
       4.148504506860e-03       2.113077647543e+00 
       4.479452127312e-03       2.248295995046e+00 
       4.836801147907e-03       2.388083582412e+00 
       5.222657744628e-03       2.531748088473e+00 
       5.639296113988e-03       2.678427072591e+00 
       6.089171876895e-03       2.827088742524e+00 
       6.574936551816e-03       2.976535804131e+00 
       7.099453182532e-03       3.125417353420e+00 
       7.665813212606e-03       3.272245767565e+00 
       8.277354706016e-03       3.415417967397e+00 
       8.937682021332e-03       3.553226282547e+00 
       9.650687055417e-03       3.683860423984e+00 
       1.042057218184e-02       3.805392078326e+00 
       1.125187501919e-02       3.915741979244e+00 
       1.214949517534e-02       4.012650164307e+00 
       1.311872312515e-02       4.093653182599e+00 
       1.416527139199e-02       4.156121241022e+00 
       1.529530821666e-02       4.197349916527e+00 
       1.651549391176e-02       4.214718712287e+00 
