# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04206e-05 to 53.4232 h/Mpc,
# number of wavenumbers equal to 243
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.042057218184e-05      -1.589235248423e-05      -1.191931424012e-05      -1.191931465829e-05      -1.589234455806e-05      -1.203261522586e-05       6.121839466953e-01       5.968471613236e-01 
       1.125187501919e-05      -1.852910923455e-05      -1.389689972643e-05      -1.389690029488e-05      -1.852909846006e-05      -1.402899865501e-05       6.121839054725e-01       5.968471380263e-01 
       1.214949517534e-05      -2.160333584779e-05      -1.620259405087e-05      -1.620259482359e-05      -2.160332120143e-05      -1.635660964699e-05       6.121838220820e-01       5.968470755016e-01 
       1.311872312515e-05      -2.518761511702e-05      -1.889083662283e-05      -1.889083767323e-05      -2.518759520741e-05      -1.907040502501e-05       6.121837527475e-01       5.968470308376e-01 
       1.416527139199e-05      -2.936656876858e-05      -2.202509688340e-05      -2.202509831127e-05      -2.936654170437e-05      -2.223445745417e-05       6.121836698669e-01       5.968469767787e-01 
       1.529530821670e-05      -3.423885873266e-05      -2.567937555720e-05      -2.567937749819e-05      -3.423882194279e-05      -2.592347095402e-05       6.121835749369e-01       5.968469152111e-01 
       1.651549391254e-05      -3.991951735637e-05      -2.993995271856e-05      -2.993995535705e-05      -3.991946734595e-05      -3.022454556815e-05       6.121835009505e-01       5.968468818342e-01 
       1.783302012034e-05      -4.654265338725e-05      -3.490741783129e-05      -3.490742141794e-05      -4.654258540541e-05      -3.523922668286e-05       6.121833656867e-01       5.968467917189e-01 
       1.925565219523e-05      -5.426463216063e-05      -4.069905564010e-05      -4.069906051564e-05      -5.426453974931e-05      -4.108591357360e-05       6.121832110593e-01       5.968466902317e-01 
       2.079177497483e-05      -6.326775617812e-05      -4.745160762511e-05      -4.745161425271e-05      -6.326763055853e-05      -4.790264707557e-05       6.121830317112e-01       5.968465724039e-01 
       2.245044219853e-05      -7.376456932228e-05      -5.532450155014e-05      -5.532451055935e-05      -7.376439856117e-05      -5.585036978569e-05       6.121828111209e-01       5.968464234290e-01 
       2.424142986925e-05      -8.600287778659e-05      -6.450361904397e-05      -6.450363129128e-05      -8.600264566122e-05      -6.511672939607e-05       6.121825649044e-01       5.968462622817e-01 
       2.617529387212e-05      -1.002715911081e-04      -7.520567894547e-05      -7.520569559356e-05      -1.002712755687e-04      -7.592050361932e-05       6.121822729701e-01       5.968460686499e-01 
