# Matter power spectrum P(k) at redshift z=99
# for k=1.04206e-05 to 53.4232 h/Mpc,
# number of wavenumbers equal to 243
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       7.036261084927e-03 
       1.125187501919e-05       7.577807841990e-03 
       1.214949517534e-05       8.161033800596e-03 
       1.311872312515e-05       8.789148336371e-03 
       1.416527139199e-05       9.465605523202e-03 
       1.529530821670e-05       1.019412610523e-02 
       1.651549391254e-05       1.097871843882e-02 
       1.783302012034e-05       1.182369490684e-02 
       1.925565219523e-05       1.273370444908e-02 
       2.079177497483e-05       1.371375268342e-02 
       2.245044219853e-05       1.476922868204e-02 
       2.424142986925e-05       1.590593853791e-02 
       2.617529387212e-05       1.713013441435e-02 
       2.826343218975e-05       1.844854725782e-02 
       3.051815208062e-05       1.986843012854e-02 
       3.295274261680e-05       2.139759187096e-02 
       3.558155300819e-05       2.304444066090e-02 
       3.842007717529e-05       2.481803452624e-02 
       4.148504506860e-05       2.672812659071e-02 
       4.479452127312e-05       2.878522127625e-02 
       4.836801147907e-05       3.100063069973e-02 
       5.222657744628e-05       3.338653543745e-02 
       5.639296113988e-05       3.595605637924e-02 
       6.089171876895e-05       3.872332034234e-02 
       6.574936551816e-05       4.170354196101e-02 
       7.099453182532e-05       4.491310419508e-02 
       7.665813212606e-05       4.836965069535e-02 
       8.277354706016e-05       5.209217960175e-02 
       8.937682021332e-05       5.610115026130e-02 
       9.650687055417e-05       6.041859124282e-02 
       1.042057218184e-04       6.506822569707e-02 
       1.125187501919e-04       7.007559177520e-02 
       1.214949517534e-04       7.546819421204e-02 
       1.311872312515e-04       8.127563898857e-02 
       1.416527139199e-04       8.752980483627e-02 
       1.529530821670e-04       9.426500957360e-02 
       1.651549391254e-04       1.015181957555e-01 
       1.783302012034e-04       1.093291304174e-01 
       1.925565219523e-04       1.177406139424e-01 
       2.079177497483e-04       1.267987077196e-01 
       2.245044219853e-04       1.365529804431e-01 
       2.424142986925e-04       1.470567618911e-01 
       2.617529387212e-04       1.583674251039e-01 
       2.826343218975e-04       1.705466778207e-01 
       3.051815208062e-04       1.836608744571e-01 
       3.295274261680e-04       1.977813534256e-01 
       3.558155300819e-04       2.129847828048e-01 
       3.842007717529e-04       2.293535354154e-01 
       4.148504506860e-04       2.469760707787e-01 
       4.479452127312e-04       2.659473470725e-01 
       4.836801147907e-04       2.863692383315e-01 
       5.222657744628e-04       3.083509655280e-01 
       5.639296113988e-04       3.320095468547e-01 
       6.089171876895e-04       3.574702248899e-01 
       6.574936551816e-04       3.848669279299e-01 
       7.099453182532e-04       4.143426721339e-01 
       7.665813212606e-04       4.460499746212e-01 
       8.277354706016e-04       4.801511957783e-01 
       8.937682021332e-04       5.168188330717e-01 
       9.650687055417e-04       5.562357080946e-01 
       1.042057218184e-03       5.985950349127e-01 
       1.125187501919e-03       6.441003139315e-01 
       1.214949517534e-03       6.929650083927e-01 
       1.311872312515e-03       7.454119262447e-01 
       1.416527139199e-03       8.016805746160e-01 
       1.529530821670e-03       8.620070398959e-01 
       1.651549391254e-03       9.266333585871e-01 
       1.783302012034e-03       9.958058781317e-01 
       1.925565219523e-03       1.069769903955e+00 
       2.079177497483e-03       1.148765170331e+00 
       2.245044219853e-03       1.233020183164e+00 
       2.424142986925e-03       1.322745135446e+00 
       2.617529387212e-03       1.418123286454e+00 
       2.826343218975e-03       1.519300683069e+00 
       3.051815208062e-03       1.626374025803e+00 
       3.295274261680e-03       1.739376602894e+00 
       3.558155300819e-03       1.858263366100e+00 
       3.842007717529e-03       1.982892757538e+00 
       4.148504506860e-03       2.113010270687e+00 
       4.479452127312e-03       2.248230107769e+00 
       4.836801147907e-03       2.388019845298e+00 
       5.222657744628e-03       2.531686472236e+00 
       5.639296113988e-03       2.678367088637e+00 
       6.089171876895e-03       2.827030978939e+00 
       6.574936551816e-03       2.976479702104e+00 
       7.099453182532e-03       3.125362337788e+00 
       7.665813212606e-03       3.272192292080e+00 
       8.277354706016e-03       3.415364816847e+00 
       8.937682021332e-03       3.553173416609e+00 
       9.650687055417e-03       3.683806377503e+00 
       1.042057218184e-02       3.805336926281e+00 
       1.125187501919e-02       3.915686453144e+00 
       1.214949517534e-02       4.012590391445e+00 
       1.311872312515e-02       4.093588260728e+00 
       1.416527139199e-02       4.156048767840e+00 
       1.529530821666e-02       4.197267105214e+00 
       1.651549391176e-02       4.214621569593e+00 
       1.783302010906e-02       4.205748708685e+00 
       1.925565206518e-02       4.168714931601e+00 
       2.079177376287e-02       4.102178500704e+00 
       2.245043293693e-02       4.005595121567e+00 
       2.424137103356e-02       3.879495450008e+00 
       2.617497906706e-02       3.725821064516e+00 
       2.826199580119e-02       3.548122864258e+00 
       3.051249938375e-02       3.351726198448e+00 
       3.293336996262e-02       3.143830291992e+00 
       3.552331487266e-02       2.933353209119e+00 
       3.826582157228e-02       2.730320366826e+00 
       4.112404724473e-02       2.544380453570e+00 
       4.404493044138e-02       2.382541360605e+00 
       4.697466957067e-02       2.247452780543e+00 
       4.987520971806e-02       2.137509869778e+00 
       5.272987739079e-02       2.048365421452e+00 
       5.553868476799e-02       1.974636711722e+00 
       5.831086443783e-02       1.911183283321e+00 
       6.105929318352e-02       1.853482474755e+00 
       6.379744399755e-02       1.797755531156e+00 
       6.653804689347e-02       1.741031488855e+00 
       6.929265033370e-02       1.681144575823e+00 
