# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_dmeff          13:T_dmeff               14:Vrel_dmeff            15:dkappa_dmeff          16:dkappaT_dmeff         17:cdmeff2               18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       1.000000000000e+14       7.559518509157e-26       4.634785000235e-09       2.157256292802e+22       1.415189798880e+04       1.415189798880e-10       1.415189798880e+18       2.676317464532e-09       2.751560535470e+44       2.490422367464e+33       1.112650056054e+20       1.336376166075e+34       2.725500000000e+14       0.000000000000e+00       3.181548349270e+21       4.376367419875e+17       3.030798623953e+05       3.530299370118e-08       1.902194177205e+44       4.653754712833e+44       4.653754712833e+44       1.551251570892e+44      -1.338578885210e+53       5.420894337541e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208824e-26       4.685716703534e-09       2.111374631024e+22       1.415189798880e+04       1.430483695497e-10       1.400059415677e+18       2.705240316110e-09       2.635761930281e+44       2.411394910978e+33       1.077342830646e+20       1.293969540318e+34       2.696360527333e+14       0.000000000000e+00       3.097190861828e+21       4.260329780608e+17      -1.271471433155e+06       3.530299370118e-08       1.822140902098e+44       4.457902832533e+44       4.457902832533e+44       1.485967610793e+44      -1.268536174643e+53       5.537432508192e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675380e-26       4.736648406833e-09       2.066468804568e+22       1.415189798880e+04       1.445942872612e-10       1.385090797699e+18       2.734475734723e-09       2.524836674885e+44       2.334875197339e+33       1.043155993593e+20       1.252908585004e+34       2.667532618736e+14       0.000000000000e+00       3.015070091804e+21       4.147368849961e+17      -8.711739123587e+05       3.530299370118e-08       1.745456645219e+44       4.270293320253e+44       4.270293320253e+44       1.423431106701e+44      -1.202158531080e+53       5.653970678831e-06       1.917553041712e+00 
       9.682674483178e+13       8.063126489071e-26       4.787580110133e-09       2.022518058854e+22       1.415189798880e+04       1.461569116403e-10       1.370282215446e+18       2.764027098839e-09       2.418579675807e+44       2.260783649468e+33       1.010053992113e+20       1.213150598578e+34       2.639012916059e+14       0.000000000000e+00       2.935126718073e+21       4.037403028976e+17      -9.386890446619e+05       3.530299370118e-08       1.671999622440e+44       4.090579298390e+44       4.090579298390e+44       1.363526432749e+44      -1.139254175590e+53       5.770508849461e-06       1.878827146122e+00 
       9.579152979933e+13       8.238343922800e-26       4.838511813432e-09       1.979502080722e+22       1.415189798880e+04       1.477364232354e-10       1.355631957911e+18       2.793897823452e-09       2.316794470871e+44       2.189043215469e+33       9.780024016069e+19       1.174654234510e+34       2.610798130798e+14       0.000000000000e+00       2.857303011582e+21       3.930352908661e+17      -8.841655470247e+05       3.530299370118e-08       1.601634016574e+44       3.918428487584e+44       3.918428487584e+44       1.306142829148e+44      -1.079641364298e+53       5.887047020094e-06       1.841634462244e+00 
       9.476738268169e+13       8.417368954568e-26       4.891262506135e-09       1.937400989045e+22       1.415189798880e+04       1.493330045458e-10       1.341138332376e+18       2.824091359693e-09       2.219292865953e+44       2.119579288499e+33       9.469678898526e+19       1.137379458305e+34       2.582885001164e+14       0.000000000000e+00       2.781542769217e+21       3.826141179021e+17      -8.637274159739e+05       3.530299370118e-08       1.534229726263e+44       3.753522592351e+44       3.753522592351e+44       1.251174197405e+44      -1.023147863295e+53       6.003585190724e-06       1.805885704713e+00 
       9.375418514718e+13       8.600284325758e-26       4.944013198838e-09       1.896195325534e+22       1.415189798880e+04       1.509468400432e-10       1.326799664226e+18       2.854611196175e-09       2.125894587024e+44       2.052319629182e+33       9.169181823464e+19       1.101287505862e+34       2.555270302564e+14       0.000000000000e+00       2.707791279343e+21       3.724692581666e+17      -8.317509520716e+05       3.530299370118e-08       1.469662125423e+44       3.595556712578e+44       3.595556712578e+44       1.198518904149e+44      -9.696104510082e+52       6.120123361353e-06       1.771498388655e+00 
       9.275182012925e+13       8.787174577801e-26       4.998582880944e-09       1.855866045754e+22       1.415189798880e+04       1.525781161930e-10       1.312614296744e+18       2.885460859268e-09       2.036426946831e+44       1.987194290481e+33       8.878220287368e+19       1.066340843165e+34       2.527950844150e+14       0.000000000000e+00       2.635995280589e+21       3.625933853107e+17      -8.049108474409e+05       3.530299370118e-08       1.407811832824e+44       3.444238779782e+44       3.444238779782e+44       1.148079593218e+44      -9.188744466288e+52       6.236661531982e-06       1.738396194401e+00 
       9.176017181296e+13       8.978126095006e-26       5.051333573647e-09       1.816394510313e+22       1.415189798880e+04       1.542270214755e-10       1.298580590931e+18       2.916643913473e-09       1.950724525616e+44       1.924135544956e+33       8.596491703252e+19       1.032503127248e+34       2.500923469358e+14       0.000000000000e+00       2.566102923880e+21       3.529793672534e+17      -7.850540293086e+05       3.530299370118e-08       1.348564491358e+44       3.299289017096e+44       3.299289017096e+44       1.099763005658e+44      -8.707932632011e+52       6.353199702611e-06       1.706508402067e+00 
       9.077912562158e+13       9.173227129470e-26       5.105903255753e-09       1.777762476255e+22       1.415189798880e+04       1.558937464081e-10       1.284696925309e+18       2.948163961687e-09       1.868628865258e+44       1.863077814332e+33       8.323703085993e+19       9.997391684009e+33       2.474185055433e+14       0.000000000000e+00       2.498063734928e+21       3.436202610222e+17      -7.693796473623e+05       3.530299370118e-08       1.291810556602e+44       3.160439421979e+44       3.160439421979e+44       1.053479807287e+44      -8.252279841044e+52       6.469737873235e-06       1.675769387306e+00 
