# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04206e-05 to 53.4232 h/Mpc,
# number of wavenumbers equal to 243
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_ur                   7:d_tot                  8:phi                    9:psi                
       1.042057218184e-05      -1.589235243691e-05      -1.191931420281e-05      -1.191931462094e-05      -1.191931461481e-05      -1.589234463177e-05      -1.203261518462e-05       6.121772528152e-01       5.968461848033e-01 
       1.125187501919e-05      -1.852910915856e-05      -1.389689966697e-05      -1.389690023536e-05      -1.389690022702e-05      -1.852909854860e-05      -1.402899859012e-05       6.121772103138e-01       5.968461608030e-01 
       1.214949517534e-05      -2.160333575272e-05      -1.620259397621e-05      -1.620259474886e-05      -1.620259473752e-05      -2.160332133001e-05      -1.635660956501e-05       6.121771269997e-01       5.968460981190e-01 
       1.311872312515e-05      -2.518761499353e-05      -1.889083652564e-05      -1.889083757595e-05      -1.889083756054e-05      -2.518759538793e-05      -1.907040491792e-05       6.121770575384e-01       5.968460531016e-01 
       1.416527139199e-05      -2.936656859912e-05      -2.202509675009e-05      -2.202509817784e-05      -2.202509815688e-05      -2.936654194817e-05      -2.223445730739e-05       6.121769741778e-01       5.968459986295e-01 
       1.529530821670e-05      -3.423885851145e-05      -2.567937538285e-05      -2.567937732367e-05      -2.567937729519e-05      -3.423882228335e-05      -2.592347076142e-05       6.121768788458e-01       5.968459366840e-01 
       1.651549391254e-05      -3.991951707149e-05      -2.993995249341e-05      -2.993995513168e-05      -2.993995509296e-05      -3.991946782468e-05      -3.022454531831e-05       6.121768047479e-01       5.968459027912e-01 
       1.783302012034e-05      -4.654265299357e-05      -3.490741752042e-05      -3.490742110674e-05      -3.490742105412e-05      -4.654258604973e-05      -3.523922633837e-05       6.121766686866e-01       5.968458119763e-01 
       1.925565219523e-05      -5.426463124648e-05      -4.069905493330e-05      -4.069905980840e-05      -4.069905973686e-05      -5.426454024616e-05      -4.108591281838e-05       6.121765090407e-01       5.968457052824e-01 
       2.079177497483e-05      -6.326775546973e-05      -4.745160706498e-05      -4.745161369198e-05      -4.745161359473e-05      -6.326763176819e-05      -4.790264645345e-05       6.121763331196e-01       5.968455910620e-01 
       2.245044219853e-05      -7.376456835174e-05      -5.532450078302e-05      -5.532450979143e-05      -5.532450965923e-05      -7.376440019792e-05      -5.585036893425e-05       6.121761112317e-01       5.968454407751e-01 
       2.424142986925e-05      -8.600287578181e-05      -6.450361748848e-05      -6.450362973411e-05      -6.450362955440e-05      -8.600264720148e-05      -6.511672772057e-05       6.121758573574e-01       5.968452713198e-01 
       2.617529387212e-05      -1.002715893346e-04      -7.520567754278e-05      -7.520569418940e-05      -7.520569394512e-05      -1.002712786128e-04      -7.592050206097e-05       6.121755701920e-01       5.968450830359e-01 
       2.826343218975e-05      -1.169075397861e-04      -8.768335389450e-05      -8.768337652271e-05      -8.768337619064e-05      -1.169071174082e-04      -8.851676511167e-05       6.121752159274e-01       5.968448417965e-01 
       3.051815208062e-05      -1.363034388605e-04      -1.022312481137e-04      -1.022312788735e-04      -1.022312784221e-04      -1.363028647017e-04      -1.032029166246e-04       6.121748145829e-01       5.968445733132e-01 
       3.295274261680e-05      -1.589171312595e-04      -1.191928358658e-04      -1.191928776793e-04      -1.191928770657e-04      -1.589163507787e-04      -1.203256942271e-04       6.121743552478e-01       5.968442691328e-01 
       3.558155300819e-05      -1.852823931845e-04      -1.389685745481e-04      -1.389686313875e-04      -1.389686305534e-04      -1.852813322415e-04      -1.402893578401e-04       6.121738048518e-01       5.968438992536e-01 
       3.842007717529e-05      -2.160215378338e-04      -1.620253693129e-04      -1.620254465779e-04      -1.620254454440e-04      -2.160200956483e-04      -1.635652452894e-04       6.121731677245e-01       5.968434727045e-01 
       4.148504506860e-05      -2.518600759736e-04      -1.889075846735e-04      -1.889076897026e-04      -1.889076881613e-04      -2.518581155596e-04      -1.907028880489e-04       6.121724260286e-01       5.968429743316e-01 
       4.479452127312e-05      -2.936438294256e-04      -2.202499015702e-04      -2.202500443434e-04      -2.202500422482e-04      -2.936411645503e-04      -2.223429898024e-04       6.121715580714e-01       5.968423940772e-01 
       4.836801147907e-05      -3.423588682973e-04      -2.567923002389e-04      -2.567924943190e-04      -2.567924914708e-04      -3.423552458379e-04      -2.592325507367e-04       6.121705532031e-01       5.968417230879e-01 
       5.222657744628e-05      -3.991547381966e-04      -2.993975211794e-04      -2.993977850029e-04      -2.993977811312e-04      -3.991498140689e-04      -3.022424931544e-04       6.121693705596e-01       5.968409299066e-01 
       5.639296113988e-05      -4.653715681867e-04      -3.490714513721e-04      -3.490718100017e-04      -3.490718047387e-04      -4.653648746883e-04      -3.523882396491e-04       6.121680016997e-01       5.968400147062e-01 
       6.089171876895e-05      -5.425716013458e-04      -4.069868472350e-04      -4.069873347344e-04      -4.069873275801e-04      -5.425625027308e-04      -4.108536590793e-04       6.121664049743e-01       5.968389463456e-01 
       6.574936551816e-05      -6.325759874965e-04      -4.745110311223e-04      -4.745116938163e-04      -4.745116840911e-04      -6.325636195607e-04      -4.790190229946e-04       6.121645425896e-01       5.968377013758e-01 
       7.099453182532e-05      -7.375076260308e-04      -5.532381622902e-04      -5.532390631211e-04      -5.532390499010e-04      -7.374908141533e-04      -5.584935787147e-04       6.121623688363e-01       5.968362473663e-01 
       7.665813212606e-05      -8.598410931054e-04      -6.450268705306e-04      -6.450280950882e-04      -6.450280771174e-04      -8.598182406413e-04      -6.511535345480e-04       6.121598377485e-01       5.968345542590e-01 
       8.277354706016e-05      -1.002460778748e-03      -7.520441153852e-04      -7.520457799972e-04      -7.520457555684e-04      -1.002429715515e-03      -7.591863273661e-04       6.121568834878e-01       5.968325769335e-01 
       8.937682021332e-05      -1.168728638381e-03      -8.768163478269e-04      -8.768186106225e-04      -8.768185774150e-04      -1.168686414569e-03      -8.851422591460e-04       6.121534406837e-01       5.968302746222e-01 
       9.650687055417e-05      -1.362563028428e-03      -1.022289110618e-03      -1.022292186516e-03      -1.022292141375e-03      -1.362505634961e-03      -1.031994648169e-03       6.121494281941e-01       5.968275884862e-01 
       1.042057218184e-04      -1.588530572841e-03      -1.191896580218e-03      -1.191900761501e-03      -1.191900700138e-03      -1.588452559884e-03      -1.203210010886e-03       6.121447502017e-01       5.968244612393e-01 
       1.125187501919e-04      -1.851952978683e-03      -1.389642555226e-03      -1.389648238961e-03      -1.389648155546e-03      -1.851846940305e-03      -1.402829790831e-03       6.121392919956e-01       5.968208083493e-01 
       1.214949517534e-04      -2.159031513513e-03      -1.620194999152e-03      -1.620202725439e-03      -1.620202612047e-03      -2.158887383348e-03      -1.635565761577e-03       6.121329359928e-01       5.968165578142e-01 
       1.311872312515e-04      -2.516991554729e-03      -1.888996070587e-03      -1.889006573277e-03      -1.889006419138e-03      -2.516795652591e-03      -1.906911048437e-03       6.121255214204e-01       5.968115973209e-01 
       1.416527139199e-04      -2.934250941873e-03      -2.202390578972e-03      -2.202404855914e-03      -2.202404646383e-03      -2.933984675961e-03      -2.223269733705e-03       6.121168772188e-01       5.968058143742e-01 
       1.529530821670e-04      -3.420615472399e-03      -2.567775590427e-03      -2.567794997823e-03      -2.567794712996e-03      -3.420253577391e-03      -2.592107785150e-03       6.121067996325e-01       5.967990720901e-01 
       1.651549391254e-04      -3.987506080227e-03      -2.993774864049e-03      -2.993801245075e-03      -2.993800857893e-03      -3.987014225173e-03      -3.022129016640e-03       6.120950517386e-01       5.967912113143e-01 
       1.783302012034e-04      -4.648222598188e-03      -3.490442173419e-03      -3.490478034539e-03      -3.490477508219e-03      -4.647554130648e-03      -3.523480161645e-03       6.120813550973e-01       5.967820474947e-01 
       1.925565219523e-04      -5.418249728371e-03      -4.069498272187e-03      -4.069547020636e-03      -4.069546305185e-03      -5.417341261828e-03      -4.107989842429e-03       6.120653882791e-01       5.967713644811e-01 
       2.079177497483e-04      -6.315611758032e-03      -4.744607095714e-03      -4.744673360966e-03      -4.744672388411e-03      -6.314377180921e-03      -4.789447059932e-03       6.120467765751e-01       5.967589094513e-01 
       2.245044219853e-04      -7.361283318470e-03      -5.531697611924e-03      -5.531787690149e-03      -5.531786368103e-03      -7.359605638842e-03      -5.583925654019e-03       6.120250778554e-01       5.967443895046e-01 
       2.424142986925e-04      -8.579664491286e-03      -6.449338935208e-03      -6.449461381622e-03      -6.449459584508e-03      -8.577384806695e-03      -6.510162354385e-03       6.119997839426e-01       5.967274614144e-01 
       2.617529387212e-04      -9.999129639401e-03      -7.519177376915e-03      -7.519343822446e-03      -7.519341379497e-03      -9.996032125705e-03      -7.589997153103e-03       6.119703003689e-01       5.967077277285e-01 
       2.826343218975e-04      -1.165266024596e-02      -8.766445651934e-03      -8.766671911247e-03      -8.766668590404e-03      -1.164845181347e-02      -8.848886209576e-03       6.119359329079e-01       5.966847228014e-01 
       3.051815208062e-04      -1.357857333113e-02      -1.022055617065e-02      -1.022086373036e-02      -1.022085921616e-02      -1.357285606576e-02      -1.031649921771e-02       6.118958755608e-01       5.966579046715e-01 
       3.295274261680e-04      -1.582135792289e-02      -1.191579200451e-02      -1.191621008014e-02      -1.191620394372e-02      -1.581359164493e-02      -1.202741486431e-02       6.118491876067e-01       5.966266427649e-01 
       3.558155300819e-04      -1.843263281553e-02      -1.389211172482e-02      -1.389268002191e-02      -1.389267168034e-02      -1.842208443113e-02      -1.402193044177e-02       6.117947746894e-01       5.965902011406e-01 
       3.842007717529e-04      -2.147223984823e-02      -1.619608650114e-02      -1.619685900936e-02      -1.619684767019e-02      -2.145791466147e-02      -1.634700402260e-02       6.117313616163e-01       5.965477237952e-01 
       4.148504506860e-04      -2.500948640578e-02      -1.888199115695e-02      -1.888304124137e-02      -1.888302582740e-02      -2.499003532487e-02      -1.905735059727e-02       6.116574676175e-01       5.964982122660e-01 
       4.479452127312e-04      -2.912455142626e-02      -2.201307395164e-02      -2.201450134311e-02      -2.201448039004e-02      -2.909814520349e-02      -2.221671688744e-02       6.115713663727e-01       5.964405044623e-01 
       4.836801147907e-04      -3.391006595108e-02      -2.566303409600e-02      -2.566497436538e-02      -2.566494588272e-02      -3.387422545602e-02      -2.589936328809e-02       6.114710520090e-01       5.963732473487e-01 
       5.222657744628e-04      -3.947287747999e-02      -2.991774050204e-02      -2.992037785650e-02      -2.992033913844e-02      -3.942424460570e-02      -3.019178590127e-02       6.113541916601e-01       5.962948648008e-01 
       5.639296113988e-04      -4.593600158828e-02      -3.487722978600e-02      -3.488081475356e-02      -3.488076212195e-02      -4.587002979165e-02      -3.519471622137e-02       6.112180759879e-01       5.962035248022e-01 
       6.089171876895e-04      -5.344075275496e-02      -4.065802919989e-02      -4.066290206351e-02      -4.066283051842e-02      -5.335129174296e-02      -4.102544197985e-02       6.110595578933e-01       5.960970923499e-01 
       6.574936551816e-04      -6.214904057687e-02      -4.739585359055e-02      -4.740247714238e-02      -4.740237988718e-02      -6.202777565452e-02      -4.782049850173e-02       6.108749841003e-01       5.959730876829e-01 
       7.099453182532e-04      -7.224578424060e-02      -5.524873771636e-02      -5.525774073555e-02      -5.525760853122e-02      -7.208148695777e-02      -5.573878698047e-02       6.106601202703e-01       5.958286248294e-01 
       7.665813212606e-04      -8.394138865578e-02      -6.440066836942e-02      -6.441290556513e-02      -6.441272585231e-02      -8.371891123556e-02      -6.496518392397e-02       6.104100592308e-01       5.956603516868e-01 
       8.277354706016e-04      -9.747416731125e-02      -7.506579533682e-02      -7.508242805237e-02      -7.508218375870e-02      -9.717310181232e-02      -7.571471393718e-02       6.101191218167e-01       5.954643737510e-01 
       8.937682021332e-04      -1.131125586090e-01      -8.749330568543e-02      -8.751591248911e-02      -8.751558040709e-02      -1.127054511396e-01      -8.823736711620e-02       6.097807442864e-01       5.952361716359e-01 
       9.650687055417e-04      -1.311568965003e-01      -1.019730628280e-01      -1.020037888932e-01      -1.020033374756e-01      -1.306068810032e-01      -1.028236522817e-01       6.093873507010e-01       5.949705031879e-01 
       1.042057218184e-03      -1.519404073066e-01      -1.188421183088e-01      -1.188838786563e-01      -1.188832650191e-01      -1.511980827162e-01      -1.198109860841e-01       6.089302120786e-01       5.946612936224e-01 
       1.125187501919e-03      -1.758289684453e-01      -1.384922212619e-01      -1.385489766025e-01      -1.385481424509e-01      -1.748283007217e-01      -1.395910285765e-01       6.083992905675e-01       5.943015098731e-01 
       1.214949517534e-03      -2.032190028865e-01      -1.613784602858e-01      -1.614555931543e-01      -1.614544592451e-01      -2.018719808070e-01      -1.626180849313e-01       6.077830714284e-01       5.938830205233e-01 
       1.311872312515e-03      -2.345326563606e-01      -1.880291933342e-01      -1.881340155025e-01      -1.881324741161e-01      -2.327223867894e-01      -1.894187022210e-01       6.070683837106e-01       5.933964375075e-01 
       1.416527139199e-03      -2.702097268252e-01      -2.190582722803e-01      -2.192008805004e-01      -2.191992056117e-01      -2.677786462838e-01      -2.206038854820e-01       6.062440007743e-01       5.928342457625e-01 
       1.529530821670e-03      -3.106928769292e-01      -2.551763130412e-01      -2.553703007718e-01      -2.553685911020e-01      -3.074347387272e-01      -2.568787587608e-01       6.052907759857e-01       5.921823859651e-01 
       1.651549391254e-03      -3.564070423379e-01      -2.972064368956e-01      -2.974702129044e-01      -2.974684695345e-01      -3.520527272909e-01      -2.990582148015e-01       6.041885043439e-01       5.914257799156e-01 
       1.783302012034e-03      -4.077295727059e-01      -3.461011941956e-01      -3.464597637599e-01      -3.464579874237e-01      -4.019293740763e-01      -3.480828583868e-01       6.029155891403e-01       5.905481325586e-01 
       1.925565219523e-03      -4.649482938664e-01      -4.029613451051e-01      -4.034486460758e-01      -4.034468372180e-01      -4.572517437596e-01      -4.050364016046e-01       6.014479477026e-01       5.895308861055e-01 
       2.079177497483e-03      -5.282052412373e-01      -4.690570561664e-01      -4.697191696568e-01      -4.697173284815e-01      -5.180381446065e-01      -4.711653351147e-01       5.997589244501e-01       5.883529719141e-01 
       2.245044219853e-03      -5.974229568413e-01      -5.458515996591e-01      -5.467510666135e-01      -5.467491931234e-01      -5.840629084802e-01      -5.479007380319e-01       5.978193152967e-01       5.869905915879e-01 
       2.424142986925e-03      -6.722111629310e-01      -6.350275051691e-01      -6.362491750979e-01      -6.362472691251e-01      -6.547640588623e-01      -6.368822891611e-01       5.955974939521e-01       5.854169992304e-01 
       2.617529387212e-03      -7.517528388656e-01      -7.385151569079e-01      -7.401741485227e-01      -7.401722097520e-01      -7.291349221770e-01      -7.399845950293e-01       5.930597199117e-01       5.836023391067e-01 
       2.826343218975e-03      -8.346711016731e-01      -8.585238703143e-01      -8.607762401001e-01      -8.607742680853e-01      -8.056044339180e-01      -8.593459598659e-01       5.901706745307e-01       5.815135627503e-01 
       3.051815208062e-03      -9.188838224495e-01      -9.975748484704e-01      -1.000632149294e+00      -1.000630143466e+00      -8.819168263672e-01      -9.973997367823e-01       5.868942702983e-01       5.791144514906e-01 
       3.295274261680e-03      -1.001459264144e+00      -1.158535940603e+00      -1.162684770440e+00      -1.162682730108e+00      -9.550301649639e-01      -1.156908568639e+00       5.831947950302e-01       5.763658016505e-01 
       3.558155300819e-03      -1.078498751908e+00      -1.344657307715e+00      -1.350285777525e+00      -1.350283701867e+00      -1.021065167881e+00      -1.341002133047e+00       5.790385048271e-01       5.732259021446e-01 
       3.842007717529e-03      -1.145086207560e+00      -1.559607067045e+00      -1.567240194779e+00      -1.567238082824e+00      -1.075351413807e+00      -1.553218773908e+00       5.743954599484e-01       5.696511589515e-01 
       4.148504506860e-03      -1.195366785383e+00      -1.807505407701e+00      -1.817853346211e+00      -1.817851196808e+00      -1.112632851884e+00      -1.797552881367e+00       5.692419349541e-01       5.655973132627e-01 
       4.479452127312e-03      -1.222833240713e+00      -2.092956565759e+00      -2.106978822733e+00      -2.106976634501e+00      -1.127508304544e+00      -2.078509017765e+00       5.635629251524e-01       5.610209861327e-01 
       4.836801147907e-03      -1.220919780177e+00      -2.421075729067e+00      -2.440067348586e+00      -2.440065119846e+00      -1.115180215330e+00      -2.401164777060e+00       5.573546532164e-01       5.558817651086e-01 
       5.222657744628e-03      -1.183999961914e+00      -2.797508987198e+00      -2.823216290311e+00      -2.823214018988e+00      -1.072554709840e+00      -2.771244003358e+00       5.506266652419e-01       5.501448638609e-01 
       5.639296113988e-03      -1.108846334976e+00      -3.228443484989e+00      -3.263219390571e+00      -3.263217074059e+00      -9.996546820634e-01      -3.195200110512e+00       5.434028112873e-01       5.437841939191e-01 
       6.089171876895e-03      -9.965091826673e-01      -3.720611073399e+00      -3.767618223007e+00      -3.767615857988e+00      -9.011510397241e-01      -3.680308232044e+00       5.357206588481e-01       5.367859698735e-01 
       6.574936551816e-03      -8.543574647608e-01      -4.281266659951e+00      -4.344753085796e+00      -4.344750667994e+00      -7.875770304863e-01      -4.234752059440e+00       5.276276143809e-01       5.291515536764e-01 
       7.099453182532e-03      -6.977133527661e-01      -4.918156983123e+00      -5.003815554977e+00      -5.003813078800e+00      -6.754930065842e-01      -4.867691477873e+00       5.191739715513e-01       5.208997202354e-01 
       7.665813212606e-03      -5.500950170363e-01      -5.639456939570e+00      -5.754900423861e+00      -5.754897881992e+00      -5.856396289351e-01      -5.589277873927e+00       5.104021461546e-01       5.120667065097e-01 
       8.277354706016e-03      -4.407282524049e-01      -6.453663269272e+00      -6.609053119382e+00      -6.609050502129e+00      -5.382054055165e-01      -6.410579688145e+00       5.013332157089e-01       5.027028798874e-01 
       8.937682021332e-03      -3.980323462170e-01      -7.369453752009e+00      -7.578306483257e+00      -7.578303777763e+00      -5.451311865243e-01      -7.343391858972e+00       4.919539399411e-01       4.928652660390e-01 
       9.650687055417e-03      -4.387428509529e-01      -8.395428375722e+00      -8.675682839031e+00      -8.675680028189e+00      -6.012321642282e-01      -8.399911849413e+00       4.822076748464e-01       4.826042116015e-01 
       1.042057218184e-02      -5.548151610155e-01      -9.539784606890e+00      -9.915142525665e+00      -9.915139586692e+00      -6.787005314522e-01      -9.592364002978e+00       4.719966075823e-01       4.719468773556e-01 
       1.125187501919e-02      -7.042055659831e-01      -1.080977834731e+01      -1.131145335214e+01      -1.131145025469e+01      -7.318366341915e-01      -1.093271067595e+01       4.611990594460e-01       4.608805377301e-01 
       1.214949517534e-02      -8.155094939019e-01      -1.221108371313e+01      -1.287995459164e+01      -1.287995129529e+01      -7.173415725672e-01      -1.243267513238e+01       4.497026434824e-01       4.493440251436e-01 
       1.311872312515e-02      -8.157542656459e-01      -1.374687401385e+01      -1.463619819994e+01      -1.463619465098e+01      -6.261676337360e-01      -1.410414405625e+01       4.374419765569e-01       4.372346903900e-01 
       1.416527139199e-02      -6.791433915299e-01      -1.541682710096e+01      -1.659550753676e+01      -1.659550366395e+01      -5.059723684939e-01      -1.595973322348e+01       4.244231641635e-01       4.244384136402e-01 
       1.529530821666e-02      -4.699354972711e-01      -1.721599034042e+01      -1.877246418858e+01      -1.877245989772e+01      -4.415202890923e-01      -1.801268695632e+01       4.107120857075e-01       4.108752236469e-01 
       1.651549391176e-02      -3.289937769350e-01      -1.913365978861e+01      -2.118036823068e+01      -2.118036339774e+01      -4.809740538708e-01      -2.027518712749e+01       3.963837343590e-01       3.965391693737e-01 
       1.783302010906e-02      -3.695823944727e-01      -2.115248580909e+01      -2.383064657822e+01      -2.383064104058e+01      -5.632839094613e-01      -2.275514527722e+01       3.814638551275e-01       3.815006363364e-01 
       1.925565206518e-02      -5.393573115750e-01      -2.324742263118e+01      -2.673208839087e+01      -2.673208193649e+01      -5.582034794948e-01      -2.545356132933e+01       3.659167328195e-01       3.658549738609e-01 
       2.079177376287e-02      -6.201587009753e-01      -2.538585549325e+01      -2.989002008885e+01      -2.989001244310e+01      -4.396388169954e-01      -2.836585651188e+01       3.497108674707e-01       3.496576932214e-01 
       2.245043293693e-02      -4.764494321137e-01      -2.752804954738e+01      -3.330548786264e+01      -3.330547867244e+01      -3.651292103783e-01      -3.148634965620e+01       3.328996065129e-01       3.329142119032e-01 
       2.424137103356e-02      -2.974365572018e-01      -2.963034580111e+01      -3.697493106179e+01      -3.697491987718e+01      -4.290884677385e-01      -3.480971139294e+01       3.156218210488e-01       3.156577246923e-01 
       2.617497906706e-02      -3.528260972751e-01      -3.165140935124e+01      -4.089056051366e+01      -4.089054676715e+01      -4.455487156721e-01      -3.832565912030e+01       2.980224228265e-01       2.980245838088e-01 
       2.826199580119e-02      -4.875044584866e-01      -3.356133350337e+01      -4.504113578167e+01      -4.504111876659e+01      -3.260231250153e-01      -4.201683291052e+01       2.802296912498e-01       2.802215000495e-01 
       3.051249938375e-02      -4.152182247984e-01      -3.535582802152e+01      -4.941279759442e+01      -4.941277644533e+01      -3.225862239135e-01      -4.586929660313e+01       2.624398284249e-01       2.624565029818e-01 
       3.293336996262e-02      -4.219569615868e-01      -3.707461509371e+01      -5.398945548590e+01      -5.398942916854e+01      -3.620185614014e-01      -4.987985229324e+01       2.449531436760e-01       2.449743292122e-01 
       3.552331487266e-02      -6.107086773278e-01      -3.881911277982e+01      -5.875105938005e+01      -5.875102670433e+01      -2.550156462142e-01      -5.404717135310e+01       2.281133431523e-01       2.281201630756e-01 
       3.826582157228e-02      -4.338169454147e-01      -4.076026479489e+01      -6.367008641904e+01      -6.367004609383e+01      -2.862181685127e-01      -5.836890544016e+01       2.122969151371e-01       2.123023304511e-01 
       4.112404724473e-02      -1.655519429731e-01      -4.311792542571e+01      -6.870854663339e+01      -6.870849737107e+01      -2.588434435402e-01      -6.284972144604e+01       1.979127888848e-01       1.979173830077e-01 
       4.404493044138e-02      -2.094237362242e-01      -4.610376799418e+01      -7.382203566306e+01      -7.382197630435e+01      -2.158469101958e-01      -6.749291301852e+01       1.852715814387e-01       1.852683975872e-01 
       4.697466957067e-02      -2.942022017502e-01      -4.985121250668e+01      -7.897161607949e+01      -7.897154567390e+01      -2.487250830799e-01      -7.228347245404e+01       1.744378703323e-01       1.744383575566e-01 
       4.987520971806e-02      -2.123036594839e-01      -5.438469365088e+01      -8.413570581178e+01      -8.413562361306e+01      -2.119511494846e-01      -7.720225611618e+01       1.652499867746e-01       1.652499867746e-01 
       5.272987739079e-02      -2.027949164618e-01      -5.962395420826e+01      -8.930779414658e+01      -8.930769954335e+01      -2.024570134410e-01      -8.223681963794e+01       1.574802836608e-01       1.574802836608e-01 
       5.553868476799e-02      -1.946395448634e-01      -6.541473833893e+01      -9.448574706327e+01      -9.448563949545e+01      -1.943140139419e-01      -8.736038812972e+01       1.507962279362e-01       1.507962279362e-01 
       5.831086443783e-02      -1.874465304651e-01      -7.155910692556e+01      -9.966626624642e+01      -9.966614513683e+01      -1.871319056505e-01      -9.254004322509e+01       1.449080901649e-01       1.449080901649e-01 
       6.105929318352e-02      -1.808817836065e-01      -7.782827835449e+01      -1.048374753486e+02      -1.048373400546e+02      -1.805772297855e-01      -9.773113720516e+01       1.395683812745e-01       1.395683812745e-01 
       6.379744399755e-02      -1.746768384918e-01      -8.397666732045e+01      -1.099768920784e+02      -1.099767418586e+02      -1.743820131651e-01      -1.028777749060e+02       1.345764907285e-01       1.345764907285e-01 
       6.653804689347e-02      -1.686266520040e-01      -8.975365816160e+01      -1.150534104428e+02      -1.150532444359e+02      -1.683415771226e-01      -1.079162335328e+02       1.297771217317e-01       1.297771217317e-01 
       6.929265033370e-02      -1.625835772411e-01      -9.491854960614e+01      -1.200292842442e+02      -1.200291014533e+02      -1.623085234510e-01      -1.127788673597e+02       1.250554687477e-01       1.250554687477e-01 
       7.207159151451e-02      -1.564533445720e-01      -9.925743804671e+01      -1.248647332730e+02      -1.248645325571e+02      -1.561887249740e-01      -1.174004559778e+02       1.203342344277e-01       1.203342344277e-01 
       7.488412589325e-02      -1.501905158021e-01      -1.026034446628e+02      -1.295221168462e+02      -1.295218969163e+02      -1.499367882638e-01      -1.217247085232e+02       1.155701244790e-01       1.155701244790e-01 
       7.773860159413e-02      -1.437945590603e-01      -1.048573710093e+02      -1.339715204225e+02      -1.339712798436e+02      -1.435521367951e-01      -1.257119904458e+02       1.107512539771e-01       1.107512539771e-01 
       8.064263092727e-02      -1.373050350613e-01      -1.060079382638e+02      -1.381962064573e+02      -1.381959436560e+02      -1.370742074377e-01      -1.293468755438e+02       1.058939664298e-01       1.058939664298e-01 
       8.360324183574e-02      -1.307959935821e-01      -1.061501433440e+02      -1.421980366697e+02      -1.421977499478e+02      -1.305768589908e-01      -1.326453871990e+02       1.010392144286e-01       1.010392144286e-01 
       8.662700531640e-02      -1.243680991537e-01      -1.054951734270e+02      -1.460019737411e+02      -1.460016612944e+02      -1.241605156502e-01      -1.356601974926e+02       9.624747767465e-02       9.624747767465e-02 
       8.972014012085e-02      -1.181379176901e-01      -1.043701074590e+02      -1.496585317032e+02      -1.496581916435e+02      -1.179414754745e-01      -1.384825879316e+02       9.159215434950e-02       9.159215434950e-02 
       9.288859777810e-02      -1.122278255111e-01      -1.032052600800e+02      -1.532443100718e+02      -1.532439404500e+02      -1.120418450098e-01      -1.412409551757e+02       8.715217850028e-02       8.715217850028e-02 
       9.613813123925e-02      -1.067506547233e-01      -1.025011994299e+02      -1.568577487900e+02      -1.568573476164e+02      -1.065742145923e-01      -1.440923012322e+02       8.300249991760e-02       8.300249991760e-02 
       9.947435014200e-02      -1.017966504801e-01      -1.027802775095e+02      -1.606114909515e+02      -1.606110562092e+02      -1.016286448098e-01      -1.472085824292e+02       7.920486697300e-02       7.920486697300e-02 
       1.029027652301e-01      -9.741932468349e-02      -1.045171276679e+02      -1.646193252339e+02      -1.646188548791e+02      -9.725854892661e-02      -1.507554101167e+02       7.579819481996e-02       7.579819481996e-02 
       1.064288240027e-01      -9.362568931439e-02      -1.080625076735e+02      -1.689807330114e+02      -1.689802249572e+02      -9.347094518964e-02      -1.548677745188e+02       7.279164933936e-02       7.279164933936e-02 
