,k,d_g,d_b,d_cdm,d_dmeff,d_ur,d_tot,phi,psi,mass,sigma,np
0,1.042057218184e-05,-1.589235243691e-05,-1.19193142028e-05,-1.191931462094e-05,-1.19193146148e-05,-1.589234463176e-05,-1.203261518462e-05,0.6121772528153,0.5968461848035,3.6e-05,3.6e-30,2
1,1.169207429241e-05,-2.000726362401e-05,-1.500552676472e-05,-1.500552742742e-05,-1.500552741769e-05,-2.000725125371e-05,-1.514816370451e-05,0.6121771840002,0.5968461444011,3.6e-05,3.6e-30,2
2,1.311872312515e-05,-2.518761499352e-05,-1.889083652563e-05,-1.889083757595e-05,-1.889083756053e-05,-2.518759538793e-05,-1.907040491791e-05,0.6121770575384,0.5968460531018,3.6e-05,3.6e-30,2
3,1.47194494433e-05,-3.170927060027e-05,-2.378215150624e-05,-2.378215317087e-05,-2.378215314645e-05,-3.170923952757e-05,-2.400821334185e-05,0.6121769289703,0.5968459695962,3.6e-05,3.6e-30,2
4,1.651549391254e-05,-3.991951707149e-05,-2.993995249341e-05,-2.993995513168e-05,-2.993995509296e-05,-3.991946782468e-05,-3.022454531831e-05,0.6121768047481,0.5968459027915,3.6e-05,3.6e-30,2
5,1.853068895179e-05,-5.025554811261e-05,-3.769215983356e-05,-3.769216401491e-05,-3.769216395356e-05,-5.025547006195e-05,-3.805043750981e-05,0.6121765921906,0.596845761071,3.6e-05,3.6e-30,2
6,2.079177497483e-05,-6.32677554697e-05,-4.745160706495e-05,-4.745161369197e-05,-4.745161359473e-05,-6.326763176818e-05,-4.790264645344e-05,0.6121763331198,0.5968455910622,3.6e-05,3.6e-30,2
7,2.332875521946e-05,-7.964901679758e-05,-5.973801539477e-05,-5.973802589781e-05,-5.973802574368e-05,-7.96488207451e-05,-6.030583163905e-05,0.6121759916155,0.5968453610564,3.6e-05,3.6e-30,2
8,2.617529387212e-05,-0.0001002715893345,-7.520567754277e-05,-7.520569418942e-05,-7.520569394514e-05,-0.0001002712786128,-7.592050206099e-05,0.6121755701924,0.5968450830364,3.6e-05,3.6e-30,2
9,2.93691627713e-05,-0.0001262335258324,-9.467829123747e-05,-9.467831762008e-05,-9.467831723292e-05,-0.0001262330333773,-9.557818011953e-05,0.6121750229586,0.5968447126822,3.6e-05,3.6e-30,2
10,3.29527426168e-05,-0.0001589171312595,-0.0001191928358658,-0.0001191928776793,-0.0001191928770657,-0.0001589163507788,-0.0001203256942271,0.6121743552483,0.5968442691335,3.6e-05,3.6e-30,2
